Name,Comment,Likes
CSWF,Garbage,2
Mikaミカ,Luke skywalker fought an inter dimensional incarnation of chaos in the force yet someone cracking the ground with the force scares him like what 😂,0
Métis master,Just remembering how naive I was thinking “that was fun. Everyone’s gonna love this. This will be pleasurable to talk about”,1
VINIÇÃO YT,Trash.😢,2
Dean Esposito,"tbh this trailer was pretty fantastic, it has subtle hints of things in the movie and is incredibly well edited.",0
Jackson Sutarno,Gotta give a hand to the people who make the trailers cuz this is so misleading to the film they actually put out 😂,3
Mason Monroe,I was so hyped for this in the months leading up to it!!! It was disappointing to me but over the years I&#39;ve actually started to think it&#39;s the best of the sequels,0
DragonZaler,The movie that ended up being the second worst star wars movie ever. To me rise of skywalker is the worst movie ever.,1
gobogoo,best star wars movie in like 30 years,2
Николай,This movie is part of my childhood!,2
ROGUE THE OUTLANDER,Look at this<br><br><br>So much potenial<br><br><br><br><br>Such a change to be the darkest movie of the franchise<br><br><br><br><br>Big chance for lore during Ben&#39;s jedi years<br><br><br><br>But no<br><br>We got comedy and then episode 9 the rise of garbage,0
louis windsor,Never thought this of all things would break the interet,0
Enzoroni's Pokemon World,The first shot of the trailer is one of my favourites ever,0
Robert Redick,"Amazing trailer, awful movie",2
Antonio Alastra,Such an awesome trailer for such a horrible movie,0
HYPER,Nostalgia 😌,0
sumus 99,"this piece of art of a trailer made me hype about the movie, boy was i wrong",0
Colossus,The movie is not worthy of this trailer,0
Thuran,Rey is a much better character in this trailer than she is in the movie...,0
MEGAMOUW,Hey does anyone know if this movie is good?,0
Dank Jedi,Oh the music is so awesome 👍,1
Isaac Mapes,"Still the best Disney era Star Wars movie and the best of the sequel trilogy, even with its flaws.",3
randomperson,The only good thing from this movie was the porgs,3
Diana marcela Morales manrique,So beautiful,2
TJK-GO IX,"Honestly if this movie was directed by J.J. who i think directed VII, directed this too, i think it would have been better. And IX would&#39;ve been good too",1
COOL GUY Studios,"Somehow, this trailer is better then the movie…<br><br><br>And somehow palpatine returned!",6
やかん,"When I found you, I saw a brilliant movie ...  <br>in fact...",0
Thomas James,Star Wars trailer department is undefeated. I was convinced this was going to be the darkest and best Star Wars film since Empire.,3
Николай,This trailer brings me back,0
oweeenie,This trailer seriously sets up hype for a movie that doesn’t exist.,5
anthony,"5 years ago, star wars died WORST movie of all time and SW9 was even worse",2
Daniel C,"I really liked this one, it&#39;s a bummer it didn&#39;t work for a loud portion of the internet. Maybe Rise of Skywalker would&#39;ve been better if Disney didn&#39;t feel the need to do damage control.",2
Nick Furlong,Okay I will confess...I actually like this movie. DON&#39;T SHOOT!,6
Afk Optic,Such a good movie,4
ArabSomeoneHere,"When we watch a Star Wars Marathon.. :^|<br> .. is it normal to feel EXTREMELY bored while we try to watch VIII? :-|<br>Personally I feel like heavy weight on my head..<br>Now we&#39;ve reached a point where we are used to just drop the marathon and not even start IX or even bother to finish VIII (&gt;.&lt;)<br>Is this normal?<br><br>I honestly can&#39;t stand to watch The Last Jedi.. :^|<br>It doesn&#39;t feel right.. :-|<br>Many feel the same..<br>One of our friends says she feels bad taste in her mouth if she tries to cut through it.. unbelievable honestly.. :^(<br>I think I am happy with the old ones.. :-(<br>Heck, our fave is VI.. I can live with 1 movie! Lol. ×)",1
SamSee,STAR WARS: The Subversion of Expectations,1
Vaulkor,The worst Star Wars movie by far and no joke one of the worst movies I have ever seen.,1
GreenCat,The best trailer ever!,2
The Dawg Teaches,Came here after 5 years to see people’s hope up when the trailer came out lol crazy how trailers can bambozzled us,2
John Striker,"Good trailer, GARBAGE MOVIE!",1
Mike Dski,"Luke Skywalker:  The Rebellion Is Reborn Today.  The War Is Just Beginning, And I Will Not Be The Last Jedi.<br>STAR WARS 8 THE LAST JEDI!<br>On Disney Plus!<br>May The Force Be With You!",0
George Daniels,Rey is a pathetic. The Dylan Mulvaney of characters.,1
Archie Taylor,"Tbh the Force Awakens doomed the sequels to be derivative and unoriginal, I can&#39;t really imagine this movie being good. That being said, I think they couldn&#39;t have gone in a better direction with it - a repeat of the Empire Strikes Back would have been so much worse.",1
Retro Studios,"man the hype leading up to this movie was insane. it was such a moment bro! this trailer, the theory’s, hell even the theater experience was epic. i’ll never forget it. yes this movie has its problems but i honestly will always defend it, it’s definitely still the best out of the sequel trilogy for sure.",63
Lasteriod with fish 𓆝 𓆟 𓆞 𓆝,It&#39;s not the same how it used to be,0
Primal Elf1521,I don&#39;t care what they say about this Episode. This is best episode in Sequel Trilogy in my opinion.<br>One of the greatest movies of all time,9
Charlie Iannini,This may not be my favorite Star Wars movie but every time I re-watch it I always try to find more positives then negatives,3
Maxwell LaPlant,"I don’t care what people say, I’ve always loved this movie and I’ll never forget when I saw it in theaters",3
Zay Anything,At least Andor gave Andy Serkis another crack at giving us a memorable SW performance after how they did him dirty as Snoke.,2
Marc senses,Perfekt Trailer dumbest Film,0
Mark Deez,"Regardless how you feel about the final movie, this trailer is BY FAR the crowned jewel of all of the Star Wars sequels trailers. <br><br>No wonder they were so quick to announce a Rian Johnson trilogy. This trilogy is purely magic. <br><br>Also, say what you want about Disney Era SW, but Rian Johnson is the closest<br>we will ever get to George Lucas, in the sense that he is a master auteur filmmaker. <br><br>Me personally, I love The Last Jedi. It’s the only film in that entire trilogy that took bold risks. And like all SW, some worked, some failed miserably. But Rian is the only filmmaker that wrote, produced, and directed the entirety of his installment. Please give him a trilogy! <br><br>I would also love to see Rian get to direct some episodes for one of the Disney+ series. He, Ram Bergman, and Steve Yedlin are the Triple Threat we need.<br><br>Can’t wait for The Glass Onion. Knives Out was tremendous.",5
DatGreyStatueTho,"Didn&#39;t love it, didn&#39;t hate it, but it was enjoyable nonetheless...",5
Joshua Blackfyre,When I was younger I always thought star wars was dumb. But something told me to watch it so I watched all the star wars movies. I loved it even more when I found out a resistance was at play. I love movies about rebels/resistance and stuff,0
Renan Berto,"Well, Rian Johnson, the director said that the original one had a 3-hour cut, longer than 2-hour one, so we&#39;re 6 months away and I want the Lucasfilm Ltd. to officialy release the 3-hour cut to life, it could be better than the theatrical one, you know what I mean?",0
raphael ostrowski,When we thought this was going to be a good movie. Instead we got the worst movie in human history,3
Sci Fi Cinema,"Love or hate this movie, you cannot deny how well it was marketed. Quite possible the best Star Wars trailers were for this movie. Which just goes to show that the potential was there, but the execution was lacking",4
ChunkySaurus,Worst movie of all time,4
